iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
1,0.22136222910216719,0.1990686845168801,0.21087978509066488,1.1875935310800925,1.5053532291553573,1.3664550781250002,0.7321901575352014,0.8571030252335146,0.8865188902830057,0.9192806357172731,0.6956899359461514,0.82390619910976,0.8629899033763978,0.8969710129193356,0.711669921875,0.83843994140625,0.873291015625,0.90673828125,0.05,7173,9211,16384,1.953125e-07
2,0.26795580110497236,0.29186046511627906,0.2836201402166985,1.2509875798559194,1.3560118256342084,1.31005859375,0.7299170857686557,0.8424629604458339,0.876851977708305,0.911376919940193,0.7432148000443115,0.8438019275506813,0.8722720726708763,0.8971972969978952,0.73724365234375,0.84320068359375,0.87432861328125,0.903564453125,0.1,14530,18238,32768,3.90625e-07
3,0.17154811715481172,0.2040358744394619,0.19134253450439148,1.4857250183720605,1.479599825571126,1.4818008122281912,0.6767917133258678,0.813969764837626,0.8561030235162373,0.8990761478163494,0.6980687706076307,0.8298398492699011,0.8662270372114932,0.9007300989166274,0.6883474034279867,0.822588897416219,0.8616014325914556,0.8999744180097211,0.15,21674,26730,48404,5.859375000000001e-07
4,0.1780821917808219,0.21649484536082475,0.202113606340819,1.4147306743421049,1.457842606134607,1.4392089843750004,0.6975099037917374,0.8232880588568194,0.8624787775891342,0.9012450481041313,0.7104980678402748,0.8308286818376985,0.8644267926148561,0.8982395878059253,0.70489501953125,0.82757568359375,0.86358642578125,0.8995361328125,0.2,28742,36046,64788,7.8125e-07
5,0.1652542372881356,0.23934837092731828,0.20671140939597316,1.4473719480278273,1.454288915488253,1.451171875,0.6908010266108334,0.8269620424152371,0.8639740645684182,0.9009860867215993,0.7155105222135619,0.8308651597817615,0.8658278588130498,0.8962253646587239,0.704345703125,0.8291015625,0.864990234375,0.89837646484375,0.25,36145,45027,81172,9.765625e-07
6,0.23259493670886075,0.1798780487804878,0.2023735165521549,1.2810103818706344,1.5657512215503164,1.4523925781250002,0.7235044032796841,0.8433039781354388,0.8761008199210446,0.9149711509262071,0.6843233312921004,0.8119003878342519,0.8522147377015717,0.8921208409879567,0.7000732421875,0.82452392578125,0.86181640625,0.90130615234375,0.3,42731,54825,97556,1.1718750000000001e-06
7,0.19501466275659823,0.23779724655819776,0.2204778156996587,1.2740226864012496,1.3093753862050972,1.2930908203125004,0.7200933937645928,0.8416426315066612,0.880785606372751,0.9122373300370828,0.7382181698341206,0.8500494342524443,0.8814676480281226,0.9112380533889927,0.73016357421875,0.8463134765625,0.88116455078125,0.91168212890625,0.35,50012,63928,113940,1.3671875e-06
8,0.3274336283185841,0.1723744292237443,0.24236517218973358,1.1028761451726572,1.6395902886171811,1.3975482723577235,0.7637773079633545,0.8608879492600423,0.8889358703312191,0.9216349541930937,0.6761475315065325,0.8062203722973754,0.8413689443866343,0.8790611631402474,0.7156377032520326,0.8308561991869918,0.8628048780487805,0.8982469512195121,0.4,57107,72577,129684,1.5625e-06
9,0.3337950138504155,0.22205663189269748,0.28322440087145967,1.0899064101604095,1.331609820761181,1.214537313372804,0.7622470713525027,0.867678381256656,0.8962992545260916,0.9309105431309904,0.7427432415597359,0.844275569951414,0.8735517628005481,0.9044474897221876,0.7521719544372225,0.8555891627517859,0.8845485552480855,0.9172404916661304,0.45,64619,80604,145223,1.7578125000000002e-06
10,0.2298325722983257,0.20557029177718833,0.21888412017167383,1.4228316979522184,1.4312894552256261,1.4265706672334528,0.7017064846416382,0.821160409556314,0.8587030716723549,0.8963822525597269,0.7113631049801262,0.8309562777647884,0.867430441898527,0.9020341360766893,0.7069084954971976,0.8264374330877259,0.8634044965048177,0.8994269160526481,0.5,71944,89158,161102,1.953125e-06
11,0.23893805309734514,0.19293820933165196,0.21619766643788607,1.3171957709140607,1.4112054984177216,1.365170071400238,0.7147799612510379,0.8396069748131747,0.876003321339607,0.908524771657902,0.7134177215189873,0.839240506329114,0.8729113924050633,0.9049367088607595,0.7140684913394155,0.8394155758296972,0.8743884701837895,0.906650799947111,0.55,79170,97058,176228,2.1484375e-06
12,0.21325301204819277,0.13850415512465375,0.1801040312093628,1.388104294445404,1.5835114855801475,1.4796478976885417,0.7080165860400829,0.8269983874683253,0.863741073485372,0.8963372494816862,0.688933601609658,0.8134138162307176,0.8484238765928906,0.8812877263581489,0.6992005949061164,0.8207225630538514,0.856664807585053,0.889384643985871,0.6,87852,104513,192365,2.3437500000000002e-06
13,0.23328785811732605,0.2505720823798627,0.2449748743718593,1.1026301245980712,1.402132589914419,1.2705078125000002,0.7528309800083881,0.8712428351740529,0.9019991611911087,0.9285614427512932,0.7237569060773481,0.8377207236485754,0.8714115480446322,0.9028274293142672,0.7364501953125,0.85235595703125,0.884765625,0.9140625,0.65,95005,113744,208749,2.5390625000000003e-06
14,0.19137466307277629,0.19679633867276888,0.19625,1.2434245675033924,1.5900344256157095,1.4338378906250002,0.7112618724559023,0.8521031207598372,0.8911804613297151,0.9245590230664857,0.6859329931218106,0.8099622808963834,0.8461282449522964,0.8825160860883071,0.69732666015625,0.82891845703125,0.86639404296875,0.90142822265625,0.7,102375,122758,225133,2.734375e-06
15,0.22804532577903683,0.1705508474576271,0.19706242350061198,1.1723330473330476,1.6238885635182623,1.4318847656250002,0.7431717431717432,0.8618618618618619,0.8936078936078936,0.9237809237809238,0.6772441699499521,0.8091790011713342,0.8481524864231711,0.8870194867426259,0.70538330078125,0.8316650390625,0.8675537109375,0.9027099609375,0.75,109368,132149,241517,2.9296875e-06
16,0.22701949860724233,0.18249075215782984,0.20555188367481825,1.285822802640051,1.5145676521348181,1.4062500000000002,0.7267224726336123,0.8426271732131358,0.875724404378622,0.9124275595621378,0.6954403063000348,0.8213249796960205,0.8568279382759021,0.8963916927717833,0.71026611328125,0.8314208984375,0.86578369140625,0.90399169921875,0.8,117133,140768,257901,3.125e-06
17,0.2847124824684432,0.25943970767356883,0.27320605661619485,1.0269840919904185,1.366254022820363,1.2064657572383073,0.7700485628035175,0.877936737104607,0.9068119175744849,0.9373933587084919,0.7352837916910474,0.8442363955529549,0.874195435927443,0.903335283791691,0.7516703786191536,0.8601212571145757,0.8895694135115071,0.9193887651571393,0.85,124752,149313,274065,3.3203125000000002e-06
18,0.21122599704579026,0.30585683297180044,0.26847757422615287,1.1193340742494393,1.2661981079840103,1.2028808593749998,0.745230078563412,0.8695286195286195,0.9013748597081931,0.9319584736251403,0.7519446845289542,0.8593344857389801,0.8861279170267934,0.9131374243733794,0.7490234375,0.86376953125,0.89276123046875,0.92132568359375,0.9,131880,158569,290449,3.5156250000000003e-06
19,0.24895688456189152,0.21428571428571427,0.2326797385620915,1.1543138199200915,1.4376788974501795,1.2996697154471546,0.7414220482713634,0.863535551206784,0.8962818003913894,0.9256360078277887,0.7205099641044683,0.8321574452283699,0.8635969798242357,0.8973882906300285,0.7306910569105691,0.8474339430894309,0.8795096544715447,0.9111407520325203,0.95,139545,166648,306193,3.7109375e-06
20,0.23176661264181522,0.26229508196721313,0.25335775335775335,1.0994232464733542,1.357531596736305,1.2570800781250002,0.7503134796238244,0.8694357366771159,0.9018808777429467,0.9311912225705329,0.7356057576969213,0.8447620951619352,0.8761495401839264,0.9057377049180327,0.7413330078125,0.8543701171875,0.88616943359375,0.9156494140625,1.0,145925,176652,322577,3.90625e-06
